monthOfFirstRegistration,fuelType,total
2005-08-01 00:00:00.000000 UTC,DIESEL,477
2010-12-01 00:00:00.000000 UTC,DIESEL,233
2016-05-01 00:00:00.000000 UTC,DIESEL,515
2009-03-01 00:00:00.000000 UTC,DIESEL,734
2005-04-01 00:00:00.000000 UTC,DIESEL,695
2013-07-01 00:00:00.000000 UTC,DIESEL,344
2011-10-01 00:00:00.000000 UTC,DIESEL,254
2010-07-01 00:00:00.000000 UTC,DIESEL,288
2012-03-01 00:00:00.000000 UTC,DIESEL,744
2013-10-01 00:00:00.000000 UTC,DIESEL,389
2011-11-01 00:00:00.000000 UTC,DIESEL,260
2010-04-01 00:00:00.000000 UTC,DIESEL,349
2010-08-01 00:00:00.000000 UTC,DIESEL,269
2010-06-01 00:00:00.000000 UTC,DIESEL,448
2009-06-01 00:00:00.000000 UTC,DIESEL,457
2004-10-01 00:00:00.000000 UTC,DIESEL,470
2004-05-01 00:00:00.000000 UTC,DIESEL,536
2009-05-01 00:00:00.000000 UTC,DIESEL,399
2021-03-01 00:00:00.000000 UTC,DIESEL,955
2020-10-01 00:00:00.000000 UTC,DIESEL,383
2021-05-01 00:00:00.000000 UTC,DIESEL,668
2019-02-01 00:00:00.000000 UTC,DIESEL,694
2020-12-01 00:00:00.000000 UTC,DIESEL,168
2019-10-01 00:00:00.000000 UTC,DIESEL,338
2007-06-01 00:00:00.000000 UTC,DIESEL,741
2021-05-01 00:00:00.000000 UTC,PETROL,2
2021-08-01 00:00:00.000000 UTC,PETROL,4
2021-08-01 00:00:00.000000 UTC,ELECTRICITY,8
2021-07-01 00:00:00.000000 UTC,ELECTRICITY,7
2021-10-01 00:00:00.000000 UTC,DIESEL,440
2005-03-01 00:00:00.000000 UTC,PETROL,5
2018-09-01 00:00:00.000000 UTC,ELECTRICITY,6
2021-12-01 00:00:00.000000 UTC,ELECTRICITY,15
2018-01-01 00:00:00.000000 UTC,PETROL,2
2022-01-01 00:00:00.000000 UTC,PETROL,2
2001-03-01 00:00:00.000000 UTC,DIESEL,388
2001-10-01 00:00:00.000000 UTC,PETROL,2
2002-04-01 00:00:00.000000 UTC,PETROL,3
2004-06-01 00:00:00.000000 UTC,PETROL,4
2005-02-01 00:00:00.000000 UTC,PETROL,2
2006-06-01 00:00:00.000000 UTC,PETROL,2
2012-11-01 00:00:00.000000 UTC,PETROL,1
2019-05-01 00:00:00.000000 UTC,PETROL,1
2003-05-01 00:00:00.000000 UTC,PETROL,2
2005-09-01 00:00:00.000000 UTC,GAS BI-FUEL,2
2010-04-01 00:00:00.000000 UTC,PETROL,2
2010-07-01 00:00:00.000000 UTC,PETROL,3
2013-01-01 00:00:00.000000 UTC,PETROL,3
2018-06-01 00:00:00.000000 UTC,PETROL,4
2019-09-01 00:00:00.000000 UTC,PETROL,2
2019-01-01 00:00:00.000000 UTC,PETROL,3
2020-02-01 00:00:00.000000 UTC,PETROL,2
2021-01-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2014-10-01 00:00:00.000000 UTC,ELECTRICITY,1
2015-11-01 00:00:00.000000 UTC,ELECTRICITY,1
2016-11-01 00:00:00.000000 UTC,ELECTRICITY,2
2019-08-01 00:00:00.000000 UTC,ELECTRICITY,7
2005-06-01 00:00:00.000000 UTC,PETROL,1
2008-05-01 00:00:00.000000 UTC,PETROL,2
2006-04-01 00:00:00.000000 UTC,PETROL,2
2007-09-01 00:00:00.000000 UTC,PETROL,1
