monthOfFirstRegistration,fuelType,total
2022-10-01 00:00:00.000000 UTC,ELECTRIC DIESEL,50
2022-12-01 00:00:00.000000 UTC,DIESEL,125
2015-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,68
2022-08-01 00:00:00.000000 UTC,ELECTRIC DIESEL,51
2022-02-01 00:00:00.000000 UTC,PETROL,1203
2022-08-01 00:00:00.000000 UTC,GAS BI-FUEL,14
2015-10-01 00:00:00.000000 UTC,HYBRID ELECTRIC,54
2022-02-01 00:00:00.000000 UTC,GAS BI-FUEL,17
2015-10-01 00:00:00.000000 UTC,ELECTRICITY,25
2018-12-01 00:00:00.000000 UTC,ELECTRICITY,22
2015-03-01 00:00:00.000000 UTC,ELECTRIC DIESEL,3
2015-09-01 00:00:00.000000 UTC,ELECTRICITY,34
2016-11-01 00:00:00.000000 UTC,ELECTRIC DIESEL,3
2006-03-01 00:00:00.000000 UTC,HYBRID ELECTRIC,5
2012-09-01 00:00:00.000000 UTC,ELECTRICITY,2
2018-02-01 00:00:00.000000 UTC,ELECTRICITY,23
2012-06-01 00:00:00.000000 UTC,HYBRID ELECTRIC,26
2016-02-01 00:00:00.000000 UTC,ELECTRICITY,14
2017-04-01 00:00:00.000000 UTC,ELECTRIC DIESEL,2
2012-01-01 00:00:00.000000 UTC,HYBRID ELECTRIC,33
2022-12-01 00:00:00.000000 UTC,ELECTRIC DIESEL,40
2009-04-01 00:00:00.000000 UTC,HYBRID ELECTRIC,12
2008-05-01 00:00:00.000000 UTC,GAS BI-FUEL,2
2014-05-01 00:00:00.000000 UTC,ELECTRIC DIESEL,1
2022-01-01 00:00:00.000000 UTC,GAS BI-FUEL,29
2004-01-01 00:00:00.000000 UTC,GAS BI-FUEL,7
2010-05-01 00:00:00.000000 UTC,HYBRID ELECTRIC,17
2015-09-01 00:00:00.000000 UTC,ELECTRIC DIESEL,4
2015-08-01 00:00:00.000000 UTC,HYBRID ELECTRIC,45
2021-11-01 00:00:00.000000 UTC,GAS BI-FUEL,11
2001-03-01 00:00:00.000000 UTC,GAS BI-FUEL,10
2002-03-01 00:00:00.000000 UTC,GAS BI-FUEL,13
2003-01-01 00:00:00.000000 UTC,GAS BI-FUEL,9
2003-03-01 00:00:00.000000 UTC,GAS BI-FUEL,7
2004-06-01 00:00:00.000000 UTC,GAS BI-FUEL,6
2005-01-01 00:00:00.000000 UTC,GAS BI-FUEL,7
2005-07-01 00:00:00.000000 UTC,GAS BI-FUEL,4
2006-09-01 00:00:00.000000 UTC,GAS BI-FUEL,4
2006-02-01 00:00:00.000000 UTC,GAS BI-FUEL,1
2007-01-01 00:00:00.000000 UTC,GAS,1
2007-11-01 00:00:00.000000 UTC,GAS BI-FUEL,3
